time_s,Uz_m_per_s
2.000000000000000042e-03,5.406948999999999783e-02
4.000000000000000083e-03,7.877531000000000116e-02
6.000000000000000125e-03,8.569448999999999816e-02
8.000000000000000167e-03,1.185300999999999993e-01
1.000000000000000021e-02,1.370811000000000113e-01
1.200000000000000025e-02,1.359383000000000119e-01
1.400000000000000029e-02,1.591648999999999980e-01
1.600000000000000033e-02,1.801301999999999903e-01
1.799999999999999864e-02,1.938286999999999927e-01
2.000000000000000042e-02,1.990540000000000087e-01
2.199999999999999872e-02,2.084804000000000102e-01
2.400000000000000050e-02,2.283632999999999913e-01
2.599999999999999881e-02,2.449781000000000042e-01
2.800000000000000058e-02,2.560014999999999930e-01
2.999999999999999889e-02,2.573645999999999989e-01
3.200000000000000067e-02,2.607690999999999759e-01
3.400000000000000244e-02,2.707064000000000137e-01
3.599999999999999728e-02,2.611465000000000036e-01
3.799999999999999906e-02,2.474609000000000114e-01
4.000000000000000083e-02,2.442489999999999939e-01
4.200000000000000261e-02,2.380073000000000050e-01
4.399999999999999745e-02,2.300879000000000119e-01
4.599999999999999922e-02,2.238712999999999953e-01
4.800000000000000100e-02,2.190545999999999882e-01
5.000000000000000278e-02,2.135872000000000048e-01
5.199999999999999761e-02,2.100880999999999998e-01
5.399999999999999939e-02,2.137418000000000096e-01
5.600000000000000117e-02,2.181527000000000049e-01
5.800000000000000294e-02,2.227260000000000073e-01
5.999999999999999778e-02,2.279557999999999862e-01
6.199999999999999956e-02,2.339189000000000129e-01
6.400000000000000133e-02,2.408395999999999870e-01
6.600000000000000311e-02,2.474659999999999915e-01
6.800000000000000488e-02,2.433156999999999959e-01
7.000000000000000666e-02,2.406384000000000023e-01
7.199999999999999456e-02,2.382988000000000051e-01
7.399999999999999634e-02,2.350789000000000073e-01
7.599999999999999811e-02,2.275558000000000025e-01
7.799999999999999989e-02,2.232309000000000099e-01
8.000000000000000167e-02,2.194674000000000069e-01
8.200000000000000344e-02,2.153181000000000123e-01
8.400000000000000522e-02,2.165024000000000115e-01
8.599999999999999312e-02,2.226632000000000056e-01
8.799999999999999489e-02,2.277137999999999940e-01
8.999999999999999667e-02,2.328900000000000137e-01
9.199999999999999845e-02,2.358405000000000085e-01
9.400000000000000022e-02,2.462862000000000107e-01
9.600000000000000200e-02,2.453556000000000070e-01
9.800000000000000377e-02,2.390224999999999989e-01
1.000000000000000056e-01,2.379323000000000132e-01
1.019999999999999934e-01,2.355397999999999936e-01
1.039999999999999952e-01,2.313160999999999967e-01
1.059999999999999970e-01,2.261025000000000118e-01
1.079999999999999988e-01,2.195911000000000113e-01
1.100000000000000006e-01,2.133502999999999927e-01
1.120000000000000023e-01,2.069828999999999974e-01
1.140000000000000041e-01,2.044939000000000062e-01
1.160000000000000059e-01,2.093823999999999963e-01
1.179999999999999938e-01,2.215104999999999991e-01
1.199999999999999956e-01,2.293088000000000071e-01
1.219999999999999973e-01,2.349140999999999868e-01
1.239999999999999991e-01,2.400305000000000077e-01
1.260000000000000009e-01,2.395238000000000089e-01
1.280000000000000027e-01,2.416548000000000029e-01
1.300000000000000044e-01,2.435150000000000092e-01
1.320000000000000062e-01,2.385403000000000107e-01
1.340000000000000080e-01,2.342680000000000040e-01
1.360000000000000098e-01,2.312636999999999887e-01
1.380000000000000115e-01,2.276048999999999989e-01
1.400000000000000133e-01,2.219986999999999933e-01
1.419999999999999873e-01,2.166864000000000012e-01
1.439999999999999891e-01,2.142372999999999916e-01
1.459999999999999909e-01,2.168174999999999963e-01
1.479999999999999927e-01,2.233854000000000117e-01
1.499999999999999944e-01,2.298509999999999998e-01
1.519999999999999962e-01,2.355250999999999872e-01
1.539999999999999980e-01,2.406205999999999900e-01
1.559999999999999998e-01,2.483978000000000019e-01
1.580000000000000016e-01,2.515668999999999822e-01
1.600000000000000033e-01,2.461302999999999963e-01
1.620000000000000051e-01,2.432480999999999949e-01
1.640000000000000069e-01,2.395886000000000127e-01
1.660000000000000087e-01,2.354740999999999918e-01
1.680000000000000104e-01,2.289634000000000114e-01
1.700000000000000122e-01,2.226123000000000129e-01
1.719999999999999862e-01,2.156758000000000008e-01
1.739999999999999880e-01,2.114033999999999913e-01
1.759999999999999898e-01,2.139640999999999904e-01
1.779999999999999916e-01,2.222416000000000114e-01
1.799999999999999933e-01,2.300819000000000059e-01
1.819999999999999951e-01,2.380307000000000117e-01
1.839999999999999969e-01,2.472515000000000129e-01
1.859999999999999987e-01,2.489038000000000084e-01
1.880000000000000004e-01,2.447608000000000006e-01
1.900000000000000022e-01,2.451367999999999880e-01
